Count,Month,Year
1,1,2010
0,1,2011
2,1,2012
1,1,2013
0,1,2014
4,1,2015
4,1,2016
3,1,2017
0,1,2018
1,1,2019
2,2,2010
0,2,2011
1,2,2012
3,2,2013
0,2,2014
0,2,2015
0,2,2016
2,2,2017
0,2,2018
2,2,2019
0,3,2010
1,3,2011
5,3,2012
0,3,2013
3,3,2014
1,3,2015
5,3,2016
2,3,2017
1,3,2018
4,3,2019
2,4,2010
2,4,2011
3,4,2012
4,4,2013
4,4,2014
4,4,2015
4,4,2016
14,4,2017
2,4,2018
5,4,2019
2,5,2010
6,5,2011
6,5,2012
4,5,2013
6,5,2014
6,5,2015
8,5,2016
3,5,2017
5,5,2018
4,5,2019
5,6,2010
7,6,2011
13,6,2012
8,6,2013
5,6,2014
14,6,2015
9,6,2016
6,6,2017
4,6,2018
5,6,2019
10,7,2010
5,7,2011
6,7,2012
6,7,2013
9,7,2014
7,7,2015
10,7,2016
11,7,2017
11,7,2018
9,7,2019
6,8,2010
8,8,2011
2,8,2012
9,8,2013
15,8,2014
7,8,2015
5,8,2016
5,8,2017
1,8,2018
11,8,2019
6,9,2010
8,9,2011
12,9,2012
12,9,2013
5,9,2014
12,9,2015
9,9,2016
9,9,2017
0,9,2018
5,9,2019
3,10,2010
6,10,2011
8,10,2012
6,10,2013
13,10,2014
11,10,2015
7,10,2016
6,10,2017
4,10,2018
4,10,2019
1,11,2010
1,11,2011
4,11,2012
4,11,2013
4,11,2014
6,11,2015
1,11,2016
3,11,2017
0,11,2018
2,11,2019
2,12,2010
4,12,2011
2,12,2012
3,12,2013
1,12,2014
1,12,2015
2,12,2016
2,12,2017
0,12,2018
2,12,2019
